Name,team,season,position,dateOfBirth,Age,Matches,rating_points,cp_ratio
Andy Otten,Adelaide Crows,2012,MEDIUM_DEFENDER,1989-05-15,23,6,9.35,0.25641025641025644
Angus Graham,Richmond,2012,RUCK,1987-04-16,25,1,13.6,0.5555555555555556
Angus Litherland,Hawthorn,2012,KEY_DEFENDER,NA,NA,NA,NA,NA
Angus Monfries,Essendon,2012,MIDFIELDER_FORWARD,1987-01-19,25,18,7.727777777777778,0.3870967741935484
Anthony Long,Essendon,2012,MIDFIELDER,1991-01-06,NA,NA,NA,NA
Anthony Miles,GWS Giants,2012,MIDFIELDER,1992-02-28,20,7,6.214285714285714,0.3937007874015748
Anthony Morabito,Fremantle,2012,MIDFIELDER,1991-10-29,NA,NA,NA,NA
Anton Hamp,West Coast Eagles,2012,KEY_FORWARD,1992-07-21,NA,NA,NA,NA
Antoni Grover,Fremantle,2012,KEY_DEFENDER,1980-03-11,32,1,5.7,0.25
Ariel Steinberg,Essendon,2012,MEDIUM_FORWARD,1992-08-29,NA,NA,NA,NA
Arryn Siposs,St Kilda,2012,MEDIUM_FORWARD,1992-11-25,20,11,8.545454545454545,0.3241379310344828
Ashley McGrath,Brisbane Lions,2012,MEDIUM_FORWARD,1983-05-20,29,12,10.325,0.39779005524861877
Ashley Smith,West Coast Eagles,2012,MEDIUM_DEFENDER,1990-07-20,22,5,8.18,0.26829268292682934
Ashton Hams,West Coast Eagles,2012,MEDIUM_FORWARD,1986-09-06,26,16,8.51875,0.5176470588235295
Ayce Cordy,Western Bulldogs,2012,KEY_FORWARD,1990-08-06,22,12,4.966666666666667,0.5588235294117647
Ayden Kennedy,North Melbourne,2012,KEY_FORWARD,1991-10-30,NA,NA,NA,NA
Bachar Houli,Richmond,2012,MEDIUM_DEFENDER,1988-05-12,24,22,9.081818181818182,0.25450450450450457
Beau Maister,St Kilda,2012,KEY_FORWARD,1986-03-20,26,10,5.0600000000000005,0.3958333333333333
Beau Waters,West Coast Eagles,2012,MEDIUM_DEFENDER,1986-03-30,26,20,12.14,0.28255528255528256
Ben Cunnington,North Melbourne,2012,MIDFIELDER,1991-06-30,21,20,10.93,0.47282608695652173
Ben Darrou,Richmond,2012,KEY_DEFENDER,1993-11-25,NA,NA,NA,NA
Ben Dowdell,Adelaide Crows,2012,RUCK,1988-09-27,NA,NA,NA,NA
Ben Griffiths,Richmond,2012,KEY_DEFENDER,1991-09-17,21,9,6.233333333333333,0.33749999999999997
Ben Howlett,Essendon,2012,MIDFIELDER,1988-10-21,24,19,12.98421052631579,0.48118279569892475
Ben Hudson,Brisbane Lions,2012,RUCK,1979-02-24,33,18,11.744444444444444,0.676470588235294
Ben Jacobs,Port Adelaide,2012,MEDIUM_DEFENDER,1992-01-09,20,14,4.65,0.33777777777777784
Ben Johnson,Collingwood,2012,MIDFIELDER,1981-04-05,31,8,5.125,0.19696969696969696
Ben Mabon,North Melbourne,2012,RUCK,1992-06-14,NA,NA,NA,NA
Ben McEvoy,St Kilda,2012,RUCK,1989-07-11,23,16,12.69375,0.5323383084577115
Ben McGlynn,Sydney Swans,2012,MEDIUM_FORWARD,1985-08-06,27,22,8.027272727272727,0.3516819571865444
Ben McKinley,North Melbourne,2012,KEY_FORWARD,1987-03-04,NA,NA,NA,NA
Ben Reid,Collingwood,2012,KEY_DEFENDER,1989-04-29,23,20,9.225,0.3767605633802817
Ben Rutten,Adelaide Crows,2012,KEY_DEFENDER,1983-05-28,29,25,7.044,0.3543859649122807
Ben Sinclair,Collingwood,2012,MEDIUM_FORWARD,1991-10-01,21,20,6.575,0.41626794258373206
Ben Speight,North Melbourne,2012,MIDFIELDER,1990-05-02,NA,NA,NA,NA
Ben Stratton,Hawthorn,2012,KEY_DEFENDER,1989-03-01,23,25,7.864,0.35836177474402736
Benjamin Newton,Port Adelaide,2012,MEDIUM_FORWARD,1992-08-08,NA,NA,NA,NA
Benjamin Warren,North Melbourne,2012,MEDIUM_FORWARD,1989-02-11,NA,NA,NA,NA
Bernie Vince,Adelaide Crows,2012,MIDFIELDER,1985-10-02,27,20,11.215,0.4004796163069544
Billie Smedts,Geelong Cats,2012,MEDIUM_FORWARD,1992-06-08,20,14,5.442857142857143,0.32335329341317365
Billy Longer,Brisbane Lions,2012,RUCK,1993-05-12,19,5,4.76,0.5128205128205129
Blake Bray,Carlton,2012,KEY_FORWARD,1992-07-07,NA,NA,NA,NA
Blayne Wilson,West Coast Eagles,2012,MEDIUM_DEFENDER,1992-01-26,NA,NA,NA,NA
Brad Dick,West Coast Eagles,2012,MEDIUM_FORWARD,1988-07-25,NA,NA,NA,NA
Brad Ebert,Port Adelaide,2012,MIDFIELDER,1990-04-02,22,22,12.24090909090909,0.3936381709741551
Brad Green,Melbourne,2012,MEDIUM_FORWARD,1981-03-13,31,13,5.907692307692308,0.42424242424242425
Brad Harvey,Brisbane Lions,2012,MEDIUM_DEFENDER,1992-04-16,NA,NA,NA,NA
Brad Mangan,North Melbourne,2012,MEDIUM_DEFENDER,1991-04-27,NA,NA,NA,NA
Brad Sewell,Hawthorn,2012,MIDFIELDER,1984-02-02,28,24,12.770833333333334,0.4845024469820555
Brad Sheppard,West Coast Eagles,2012,MIDFIELDER,1991-05-23,21,12,7.366666666666667,0.3057324840764331
Brad J. Miller,Richmond,2012,KEY_FORWARD,1983-07-06,NA,NA,NA,NA
Bradd Dalziell,West Coast Eagles,2012,MIDFIELDER,1987-03-15,25,2,6.15,0.16
Bradley Helbig,Richmond,2012,MIDFIELDER,1992-02-28,NA,NA,NA,NA
Bradley Hill,Hawthorn,2012,MIDFIELDER,1993-07-09,19,5,3.84,0.26
Bradley McKenzie,North Melbourne,2012,MIDFIELDER,1993-05-29,NA,NA,NA,NA
Bradley Symes,Adelaide Crows,2012,MIDFIELDER,1985-03-07,NA,NA,NA,NA
Brandon Ellis,Richmond,2012,MEDIUM_DEFENDER,1993-08-03,19,21,5.242857142857143,0.2598187311178248
Brandon Matera,Gold Coast Suns,2012,MEDIUM_FORWARD,1992-03-11,20,17,8.741176470588234,0.2918149466192171
Brendan Lee,Essendon,2012,MIDFIELDER,1987-09-24,25,2,5.85,0.4358974358974359
Brendan Whitecross,Hawthorn,2012,MIDFIELDER_FORWARD,1990-01-25,22,22,9.65,0.3097949886104784
Brendon Ah Chee,Port Adelaide,2012,MIDFIELDER,1993-12-21,NA,NA,NA,NA
Brendon Goddard,St Kilda,2012,MEDIUM_DEFENDER,1985-05-20,27,20,12.4,0.33540372670807456
Brent Guerra,Hawthorn,2012,MEDIUM_DEFENDER,1982-05-29,30,19,9.421052631578947,0.24471299093655594
Brent Harvey,North Melbourne,2012,MIDFIELDER_FORWARD,1978-05-14,34,23,15.360869565217392,0.28488372093023256
Brent Macaffer,Collingwood,2012,MEDIUM_FORWARD,1988-02-29,NA,NA,NA,NA
Brent Moloney,Melbourne,2012,MIDFIELDER,1984-01-28,28,15,9.32,0.5019607843137255
