Name,team,season,position,dateOfBirth,Age,Matches,rating_points,cp_ratio
James Battersby,Adelaide Crows,2014,MEDIUM_DEFENDER,1995-11-07,NA,NA,NA,NA
James Frawley,Melbourne,2014,KEY_FORWARD,1988-09-20,26,21,7.190476190476191,0.30461538461538457
James Gwilt,St Kilda,2014,KEY_DEFENDER,1986-08-11,28,17,7.770588235294118,0.2222222222222222
James Harmes,Melbourne,2014,MIDFIELDER,1995-10-05,NA,NA,NA,NA
James Kelly,Geelong Cats,2014,MEDIUM_DEFENDER,1983-12-29,31,23,9.91304347826087,0.31275720164609055
James Podsiadly,Adelaide Crows,2014,KEY_FORWARD,1981-09-10,33,21,9.085714285714285,0.4444444444444445
James Polkinghorne,Brisbane Lions,2014,MEDIUM_DEFENDER,1989-01-21,25,2,5,0.3333333333333333
James Sicily,Hawthorn,2014,MEDIUM_FORWARD,1995-01-06,NA,NA,NA,NA
James Stewart,GWS Giants,2014,KEY_FORWARD,1994-03-04,20,3,4.199999999999999,0.17142857142857143
James Strauss,Melbourne,2014,MEDIUM_DEFENDER,1990-06-14,NA,NA,NA,NA
James Toohey,Geelong Cats,2014,KEY_DEFENDER,1994-03-27,NA,NA,NA,NA
Jamie Bennell,West Coast Eagles,2014,MEDIUM_DEFENDER,1990-06-07,24,19,9.189473684210526,0.3441295546558705
Jamie Cripps,West Coast Eagles,2014,MEDIUM_FORWARD,1992-04-23,22,19,8.410526315789474,0.39534883720930236
Jamie Elliott,Collingwood,2014,MEDIUM_FORWARD,1992-08-21,22,17,12.670588235294117,0.36186770428015563
Jamie Macmillan,North Melbourne,2014,MEDIUM_DEFENDER,1991-09-23,23,6,9.433333333333334,0.27586206896551724
Jared Jansen,Geelong Cats,2014,MIDFIELDER,NA,NA,NA,NA,NA
Jared Petrenko,Adelaide Crows,2014,MEDIUM_FORWARD,1989-12-22,25,5,9.719999999999999,0.49180327868852464
Jared Polec,Port Adelaide,2014,MIDFIELDER,1992-10-12,22,24,12.820833333333333,0.3613445378151261
Jared Rivers,Geelong Cats,2014,KEY_DEFENDER,1984-10-18,30,22,10.254545454545454,0.3561643835616438
Jarman Impey,Port Adelaide,2014,MEDIUM_DEFENDER,1995-07-09,19,18,5.666666666666667,0.36585365853658536
Jarrad Grant,Western Bulldogs,2014,MEDIUM_FORWARD,1989-07-06,25,4,7.45,0.3
Jarrad McVeigh,Sydney Swans,2014,MIDFIELDER,1985-04-07,29,25,13.352,0.32006920415224915
Jarrad Redden,Port Adelaide,2014,RUCK,1990-12-27,NA,NA,NA,NA
Jarrad Waite,Carlton,2014,KEY_FORWARD,1983-02-04,31,16,11.76875,0.5061728395061729
Jarred Ellis,Gold Coast Suns,2014,MEDIUM_DEFENDER,1995-04-18,NA,NA,NA,NA
Jarrod Harbrow,Gold Coast Suns,2014,MEDIUM_DEFENDER,1988-07-18,26,22,10.354545454545455,0.34299516908212563
Jarrod Witts,Collingwood,2014,RUCK,1992-09-13,22,20,8.06,0.5572139303482586
Jarryd Blair,Collingwood,2014,MEDIUM_FORWARD,1990-04-14,24,21,10.852380952380953,0.4877300613496932
Jarryd Lyons,Adelaide Crows,2014,MEDIUM_FORWARD,1992-07-22,22,10,9.86,0.5692307692307692
Jarryd Roughead,Hawthorn,2014,KEY_FORWARD,1987-01-23,27,23,14.734782608695653,0.43351063829787234
Jarryn Geary,St Kilda,2014,MEDIUM_DEFENDER,1988-06-23,26,7,8.585714285714285,0.3153153153153153
Jaryd Cachia,Carlton,2014,MIDFIELDER,1991-05-08,NA,NA,NA,NA
Jason Ashby,Essendon,2014,MEDIUM_DEFENDER,1994-05-16,20,5,4.68,0.28125000000000006
Jason Holmes,St Kilda,2014,RUCK,1989-10-28,NA,NA,NA,NA
Jason Johannisen,Western Bulldogs,2014,MEDIUM_DEFENDER,1992-11-08,22,11,8.336363636363636,0.2777777777777778
Jason Porplyzia,Adelaide Crows,2014,MEDIUM_FORWARD,1984-11-27,30,4,6.025,0.47058823529411764
Jason Tutt,Western Bulldogs,2014,MIDFIELDER_FORWARD,1991-05-15,23,7,11.385714285714286,0.3529411764705882
Jason Winderlich,Essendon,2014,MEDIUM_DEFENDER,1984-10-10,30,16,9.65,0.2826086956521739
Jasper Pittard,Port Adelaide,2014,MEDIUM_DEFENDER,1991-04-01,23,25,8.984,0.2183288409703504
Jay Kennedy Harris,Melbourne,2014,MEDIUM_FORWARD,1995-03-21,19,14,5.792857142857143,0.4444444444444445
Jay Schulz,Port Adelaide,2014,KEY_FORWARD,1985-04-18,29,25,11.228,0.39556962025316456
Jayden Hunt,Melbourne,2014,MEDIUM_DEFENDER,1995-04-03,NA,NA,NA,NA
Jed Adcock,Brisbane Lions,2014,MEDIUM_DEFENDER,1985-11-15,29,22,10,0.2923497267759563
Jed Anderson,Hawthorn,2014,MIDFIELDER,1994-02-02,NA,NA,NA,NA
Jed Bews,Geelong Cats,2014,MEDIUM_DEFENDER,1993-12-14,21,7,5.171428571428572,0.31147540983606553
Jed Lamb,GWS Giants,2014,MEDIUM_FORWARD,1992-10-19,22,8,5.875,0.225
Jeff Garlett,Carlton,2014,MEDIUM_FORWARD,1989-08-03,25,9,7.5,0.4246575342465754
Jeremy Cameron,GWS Giants,2014,KEY_FORWARD,1993-04-01,21,14,8.121428571428572,0.46212121212121215
Jeremy Howe,Melbourne,2014,MEDIUM_DEFENDER,1990-06-29,24,22,11.336363636363636,0.36885245901639346
Jeremy Laidler,Sydney Swans,2014,MEDIUM_DEFENDER,1989-08-05,25,19,8.226315789473684,0.41573033707865165
Jeremy McGovern,West Coast Eagles,2014,KEY_FORWARD,1992-04-15,22,13,12.138461538461538,0.45679012345679015
Jeremy Taylor,Gold Coast Suns,2014,MEDIUM_DEFENDER,1992-06-17,NA,NA,NA,NA
Jesse Hogan,Melbourne,2014,KEY_FORWARD,1995-02-12,NA,NA,NA,NA
Jesse Lonergan,Gold Coast Suns,2014,MIDFIELDER,1994-11-14,20,9,6.444444444444445,0.4230769230769231
Jesse Stringer,Geelong Cats,2014,MEDIUM_FORWARD,1991-04-03,23,4,6.5,0.3902439024390244
Jesse White,Collingwood,2014,KEY_FORWARD,1988-01-09,26,18,8.916666666666666,0.4414893617021277
Jimmy Bartel,Geelong Cats,2014,MEDIUM_FORWARD,1983-12-04,31,23,14.1,0.3702213279678068
Jimmy Toumpas,Melbourne,2014,MIDFIELDER_FORWARD,1994-01-02,20,4,5.75,0.2545454545454545
Jimmy Webster,St Kilda,2014,MEDIUM_DEFENDER,1993-06-28,21,11,7.954545454545454,0.3067484662576687
Jobe Watson,Essendon,2014,MIDFIELDER,1985-02-08,29,15,16.446666666666665,0.4053398058252427
Joe Daniher,Essendon,2014,KEY_FORWARD,1994-03-04,20,21,7.371428571428572,0.45416666666666666
Joel Hamling,Geelong Cats,2014,KEY_DEFENDER,1993-04-09,NA,NA,NA,NA
Joel Patfull,Brisbane Lions,2014,KEY_DEFENDER,1984-12-07,30,21,9.447619047619048,0.3149350649350649
Joel Selwood,Geelong Cats,2014,MIDFIELDER,1988-05-26,26,24,17.858333333333334,0.4889589905362776
Joel Tippett,North Melbourne,2014,KEY_DEFENDER,1988-10-26,26,4,5.3,0.34375
John Butcher,Port Adelaide,2014,KEY_FORWARD,1991-07-03,23,3,5.133333333333333,0.48387096774193555
Johnny Rayner,Essendon,2014,MIDFIELDER,1992-03-25,NA,NA,NA,NA
Jonathan Brown,Brisbane Lions,2014,KEY_FORWARD,1981-10-29,33,11,6.236363636363636,0.4152542372881356
Jonathan Freeman,Brisbane Lions,2014,KEY_FORWARD,NA,20,4,5,0.45454545454545453
Jonathan Giles,GWS Giants,2014,RUCK,1988-01-08,26,9,10.988888888888889,0.6666666666666666
Jonathan O'Rourke,GWS Giants,2014,MIDFIELDER_FORWARD,1994-04-21,NA,NA,NA,NA
Jonathan Simpkin,Hawthorn,2014,MEDIUM_FORWARD,1987-10-28,27,18,6.772222222222222,0.297945205479452
Jonathon Ceglar,Hawthorn,2014,RUCK,1991-02-14,23,15,9.16,0.4863387978142077
Jonathon Griffin,Fremantle,2014,RUCK,1986-01-14,28,1,4.5,0.6666666666666666
Jonathon Marsh,Collingwood,2014,KEY_FORWARD,1995-10-17,NA,NA,NA,NA
Jonathon Patton,GWS Giants,2014,KEY_FORWARD,1993-05-20,21,19,7.868421052631579,0.4434389140271493
Jordan Kelly,Hawthorn,2014,KEY_DEFENDER,1993-06-27,NA,NA,NA,NA
Jordan Lewis,Hawthorn,2014,MIDFIELDER,1986-04-24,28,24,14.5875,0.3855421686746988
Jordan Lisle,Brisbane Lions,2014,KEY_DEFENDER,1990-07-12,24,5,5.62,0.30136986301369867
Jordan Lockyer,Sydney Swans,2014,KEY_DEFENDER,1993-06-15,NA,NA,NA,NA
Jordan Murdoch,Geelong Cats,2014,MEDIUM_FORWARD,1992-03-23,22,23,9.02608695652174,0.35666666666666663
Jordan Roughead,Western Bulldogs,2014,KEY_DEFENDER,1990-11-03,24,15,7.5,0.3313953488372093
Jordan Schroder,Geelong Cats,2014,MIDFIELDER,1992-12-05,NA,NA,NA,NA
Jordie McKenzie,Melbourne,2014,MIDFIELDER,1990-06-21,24,9,4.477777777777778,0.5
Jordon Bourke,Brisbane Lions,2014,KEY_DEFENDER,1994-11-11,20,1,2.8,0.26666666666666666
Josh Bruce,St Kilda,2014,KEY_DEFENDER,1992-06-08,22,10,6.41,0.37719298245614036
Josh Caddy,Geelong Cats,2014,MIDFIELDER,1992-09-28,22,16,10.00625,0.4708029197080292
Josh Cowan,Geelong Cats,2014,MIDFIELDER,1991-03-16,NA,NA,NA,NA
Josh Gibson,Hawthorn,2014,KEY_DEFENDER,1984-03-13,30,17,13.958823529411765,0.28212290502793297
Josh Green,Brisbane Lions,2014,MEDIUM_FORWARD,1992-08-24,22,20,12.754999999999999,0.5
Josh Hall,Gold Coast Suns,2014,KEY_FORWARD,1990-04-03,NA,NA,NA,NA
Josh Hill,West Coast Eagles,2014,MEDIUM_FORWARD,1989-01-19,25,9,7.966666666666667,0.4230769230769231
Josh Hunt,GWS Giants,2014,MEDIUM_DEFENDER,1982-03-14,32,14,9,0.27835051546391754
Josh Jenkins,Adelaide Crows,2014,KEY_FORWARD,1989-02-08,25,20,10.355,0.4092827004219409
Josh Kelly,GWS Giants,2014,MIDFIELDER_FORWARD,1995-02-12,19,18,8.244444444444445,0.3440514469453376
Josh Prudden,Western Bulldogs,2014,MIDFIELDER,1994-09-06,NA,NA,NA,NA
Josh Saunders,St Kilda,2014,MEDIUM_FORWARD,1994-08-31,20,10,8.66,0.47368421052631576
Josh Thomas,Collingwood,2014,MIDFIELDER_FORWARD,1991-10-01,23,13,9.815384615384616,0.40625
Josh Walker,Geelong Cats,2014,KEY_FORWARD,1992-11-12,22,7,7.742857142857143,0.4727272727272727
Josh J. Kennedy,West Coast Eagles,2014,KEY_FORWARD,1987-08-25,27,20,12.004999999999999,0.4072398190045249
Josh P. Kennedy,Sydney Swans,2014,MIDFIELDER,1988-06-20,26,23,15.97391304347826,0.5698924731182795
Joshua Bootsma,Carlton,2014,MEDIUM_DEFENDER,1993-02-22,NA,NA,NA,NA
Joshua Simpson,Fremantle,2014,MEDIUM_FORWARD,1994-02-09,NA,NA,NA,NA
Justin Clarke,Brisbane Lions,2014,KEY_DEFENDER,1993-11-18,21,22,7.922727272727273,0.33035714285714285
Justin Westhoff,Port Adelaide,2014,KEY_FORWARD,1986-10-01,28,25,12.216,0.3542116630669546
Kade Kolodjashnij,Gold Coast Suns,2014,MEDIUM_DEFENDER,1995-08-09,19,18,8.105555555555556,0.26351351351351354
Kade Simpson,Carlton,2014,MEDIUM_DEFENDER,1984-05-05,30,22,12.181818181818182,0.3183673469387755
Kaiden Brand,Hawthorn,2014,KEY_FORWARD,1994-04-08,NA,NA,NA,NA
Kamdyn McIntosh,Richmond,2014,KEY_DEFENDER,1994-04-03,NA,NA,NA,NA
Kane Cornes,Port Adelaide,2014,MIDFIELDER,1983-01-05,31,25,7.152,0.2582781456953642
Kane Lucas,Carlton,2014,MIDFIELDER,1991-06-26,23,7,6.8428571428571425,0.3181818181818182
Kane Mitchell,Port Adelaide,2014,MIDFIELDER_FORWARD,1989-12-01,25,10,8.530000000000001,0.40816326530612246
Karl Amon,Port Adelaide,2014,MIDFIELDER,1995-08-19,NA,NA,NA,NA
Karmichael Hunt,Gold Coast Suns,2014,MIDFIELDER,1986-11-17,28,1,1.1,0.625
Kayne Turner,North Melbourne,2014,MEDIUM_FORWARD,1995-12-31,19,6,8.133333333333333,0.41935483870967744
Kepler Bradley,Fremantle,2014,KEY_FORWARD,1985-11-13,NA,NA,NA,NA
Kieran Harper,North Melbourne,2014,MEDIUM_FORWARD,1992-06-15,NA,NA,NA,NA
Kieren Jack,Sydney Swans,2014,MIDFIELDER,1987-06-28,27,24,14.1,0.4488330341113106
Koby Stevens,Western Bulldogs,2014,MIDFIELDER_FORWARD,1991-06-18,23,20,7.48,0.35042735042735046
Kristian Jaksch,GWS Giants,2014,KEY_DEFENDER,1994-10-07,20,5,6.06,0.30434782608695654
Kurt Aylett,Essendon,2014,MIDFIELDER,1992-04-02,22,2,0.8999999999999999,0.1875
Kurt Heatherley,Hawthorn,2014,MEDIUM_DEFENDER,1995-01-01,NA,NA,NA,NA
Kurt Tippett,Sydney Swans,2014,KEY_FORWARD,1987-05-08,27,14,10.9,0.6346153846153846
Kyle Cheney,Hawthorn,2014,MEDIUM_DEFENDER,1989-08-25,25,9,11.055555555555555,0.3602941176470588
Kyle Hardingham,Essendon,2014,MEDIUM_FORWARD,1988-10-01,26,8,4.775,0.40350877192982454
Kyle Hartigan,Adelaide Crows,2014,KEY_DEFENDER,1991-11-07,23,7,6.642857142857143,0.2962962962962963
Kyle Martin,Collingwood,2014,MEDIUM_FORWARD,1990-09-17,24,2,1.95,0.4666666666666667
Lachie Henderson,Carlton,2014,KEY_FORWARD,1989-12-14,25,17,9.458823529411765,0.41206030150753764
Lachie Hunter,Western Bulldogs,2014,MEDIUM_FORWARD,1994-12-13,20,14,6.885714285714286,0.39690721649484534
Lachie Neale,Fremantle,2014,MIDFIELDER,1993-05-24,21,23,10.013043478260869,0.4340659340659341
Lachie Plowman,GWS Giants,2014,KEY_DEFENDER,1994-09-11,20,12,6.133333333333334,0.4033613445378151
Lachie Whitfield,GWS Giants,2014,MIDFIELDER,1994-07-18,20,11,10.781818181818181,0.25112107623318386
Lachlan Hansen,North Melbourne,2014,KEY_DEFENDER,1988-08-17,26,18,7.816666666666666,0.3237410071942446
Lachlan Keeffe,Collingwood,2014,KEY_DEFENDER,1990-04-14,24,18,8.35,0.31100478468899523
Lance Franklin,Sydney Swans,2014,KEY_FORWARD,1987-01-30,27,22,17.259090909090908,0.43163538873994645
Lauchlan Dalgleish,Essendon,2014,MEDIUM_DEFENDER,1993-06-22,NA,NA,NA,NA
Lee Spurr,Fremantle,2014,MEDIUM_DEFENDER,1987-07-27,27,24,7.9875,0.288135593220339
Leigh Adams,North Melbourne,2014,MEDIUM_FORWARD,1988-04-06,26,22,7.154545454545454,0.3434650455927052
Leigh Montagna,St Kilda,2014,MIDFIELDER,1983-11-02,31,20,11.205,0.3628318584070796
Leigh Osborne,Gold Coast Suns,2014,MEDIUM_DEFENDER,1990-03-13,NA,NA,NA,NA
Lenny Hayes,St Kilda,2014,MIDFIELDER,1980-01-14,34,20,11.955,0.43881856540084385
Leroy Jetta,Essendon,2014,MEDIUM_FORWARD,1988-07-06,26,2,10.95,0.3125
Levi Casboult,Carlton,2014,KEY_FORWARD,1990-03-15,24,19,7.378947368421053,0.4641148325358852
Levi Greenwood,North Melbourne,2014,MIDFIELDER,1989-02-19,25,22,11.063636363636364,0.41758241758241754
Lewis Jetta,Sydney Swans,2014,MIDFIELDER_FORWARD,1989-05-04,25,25,10.276,0.24367816091954025
Lewis Johnston,Adelaide Crows,2014,KEY_FORWARD,1991-03-03,23,2,10.899999999999999,0.2631578947368421
Lewis Pierce,St Kilda,2014,RUCK,1994-11-16,NA,NA,NA,NA
Lewis Roberts-Thomson,Sydney Swans,2014,KEY_FORWARD,1983-09-08,31,5,3.3000000000000003,0.34375
Lewis Stevenson,Port Adelaide,2014,MEDIUM_DEFENDER,1989-07-30,NA,NA,NA,NA
Lewis Taylor,Brisbane Lions,2014,MEDIUM_FORWARD,1995-02-17,19,22,7.8999999999999995,0.296195652173913
Liam Anthony,North Melbourne,2014,MIDFIELDER_FORWARD,1987-09-09,27,4,3.8249999999999997,0.1794871794871795
Liam Jones,Western Bulldogs,2014,KEY_FORWARD,1991-02-24,23,10,7.88,0.5333333333333333
Liam McBean,Richmond,2014,KEY_FORWARD,1994-08-25,NA,NA,NA,NA
Liam Picken,Western Bulldogs,2014,MEDIUM_DEFENDER,1986-08-01,28,22,8.577272727272728,0.327319587628866
Liam Shiels,Hawthorn,2014,MIDFIELDER,1991-04-29,23,21,11.652380952380952,0.3697478991596639
Liam Sumner,GWS Giants,2014,MEDIUM_FORWARD,1993-08-16,21,2,5.35,0.7
Lin Jong,Western Bulldogs,2014,MIDFIELDER,1993-06-04,21,6,9.9,0.45714285714285713
Lincoln McCarthy,Geelong Cats,2014,MEDIUM_FORWARD,1993-10-22,21,4,5.55,0.5681818181818182
Lindsay Thomas,North Melbourne,2014,MEDIUM_FORWARD,1988-02-29,26,23,10.769565217391305,0.45627376425855515
Lloyd Perris,Sydney Swans,2014,MIDFIELDER,1995-01-02,NA,NA,NA,NA
Louis Herbert,Gold Coast Suns,2014,KEY_FORWARD,1994-06-27,20,3,2,0.625
Luke Ball,Collingwood,2014,MIDFIELDER_FORWARD,1984-05-25,30,17,8.976470588235294,0.4155844155844156
Luke Breust,Hawthorn,2014,MEDIUM_FORWARD,1990-11-11,24,25,15.372,0.5013123359580053
Luke Brown,Adelaide Crows,2014,MEDIUM_DEFENDER,1992-09-22,22,22,6.404545454545454,0.28321678321678323
Luke Dahlhaus,Western Bulldogs,2014,MEDIUM_FORWARD,1992-08-21,22,21,11.31904761904762,0.4565701559020045
Luke Delaney,St Kilda,2014,KEY_DEFENDER,1989-06-24,25,22,5.1454545454545455,0.37777777777777777
Luke Dunstan,St Kilda,2014,MIDFIELDER,1995-01-29,19,16,10.23125,0.40131578947368424
Luke Hodge,Hawthorn,2014,MIDFIELDER,1984-06-15,30,22,12.968181818181819,0.2958801498127341
Luke Lowden,Hawthorn,2014,RUCK,1991-02-22,23,1,14.1,0.75
Luke McDonald,North Melbourne,2014,MEDIUM_DEFENDER,1995-02-09,19,23,7.778260869565218,0.2948717948717948
Luke McGuane,Brisbane Lions,2014,KEY_FORWARD,1987-02-12,27,3,0.7000000000000001,0.4444444444444444
Luke McPharlin,Fremantle,2014,KEY_DEFENDER,1981-12-01,33,13,7.015384615384615,0.26262626262626265
Luke Parker,Sydney Swans,2014,MIDFIELDER_FORWARD,1992-10-25,22,25,13.808,0.48923076923076925
Luke Reynolds,Carlton,2014,MEDIUM_FORWARD,1995-01-09,NA,NA,NA,NA
Luke Russell,Gold Coast Suns,2014,MIDFIELDER_FORWARD,1992-01-24,22,13,5.069230769230769,0.26
Luke Shuey,West Coast Eagles,2014,MIDFIELDER,1990-06-02,24,20,14.59,0.4446764091858037
Luke Tapscott,Melbourne,2014,MEDIUM_FORWARD,1991-06-28,23,3,3.9000000000000004,0.4482758620689655
Luke Thompson,Adelaide Crows,2014,MEDIUM_DEFENDER,1991-02-08,23,6,7.633333333333334,0.3333333333333333
Lynden Dunn,Melbourne,2014,MEDIUM_DEFENDER,1987-05-14,27,22,10.027272727272727,0.35365853658536583
Majak Daw,North Melbourne,2014,KEY_FORWARD,1991-03-11,23,8,5.5125,0.71875
Malcolm Karpany,West Coast Eagles,2014,MEDIUM_FORWARD,1995-06-01,NA,NA,NA,NA
Marc Murphy,Carlton,2014,MIDFIELDER,1987-07-19,27,20,14.54,0.46960167714884693
Marco Paparone,Brisbane Lions,2014,MIDFIELDER_FORWARD,1994-09-03,20,18,5.694444444444445,0.32926829268292684
Marcus Bontempelli,Western Bulldogs,2014,MIDFIELDER_FORWARD,1995-11-24,19,16,11.7,0.46153846153846156
Mark Austin,Western Bulldogs,2014,KEY_DEFENDER,1989-02-24,25,11,3.3181818181818183,0.41237113402061853
Mark Baguley,Essendon,2014,MEDIUM_DEFENDER,1987-05-21,27,22,9.172727272727272,0.3092269326683292
Mark Blicavs,Geelong Cats,2014,RUCK,1991-03-28,23,23,7.656521739130435,0.34397163120567376
Mark Hutchings,West Coast Eagles,2014,MIDFIELDER,1991-05-25,23,16,7.875,0.381294964028777
Mark Jamar,Melbourne,2014,RUCK,1983-08-09,31,17,7.864705882352942,0.6012658227848101
Mark LeCras,West Coast Eagles,2014,MEDIUM_FORWARD,1986-08-30,28,15,12.726666666666667,0.47191011235955055
Mark Whiley,GWS Giants,2014,MIDFIELDER,1992-12-01,22,2,9.6,0.4864864864864865
Marley Williams,Collingwood,2014,MEDIUM_DEFENDER,1993-07-22,21,15,10.1,0.36466165413533835
Martin Clarke,Collingwood,2014,MIDFIELDER,1987-11-13,27,1,7.2,0.3333333333333333
Martin Gleeson,Essendon,2014,MIDFIELDER,1994-08-25,20,9,7.055555555555555,0.23893805309734514
Mason Shaw,Port Adelaide,2014,KEY_FORWARD,1994-01-15,NA,NA,NA,NA
Mason Wood,North Melbourne,2014,KEY_FORWARD,1993-09-13,21,1,15,0.3333333333333333
Mathew Stokes,Geelong Cats,2014,MIDFIELDER,1984-11-22,30,20,12.64,0.302
Matt Buntine,GWS Giants,2014,MEDIUM_DEFENDER,NA,21,7,10.942857142857143,0.4077669902912622
Matt Crouch,Adelaide Crows,2014,MIDFIELDER,1995-04-21,19,8,7.1625,0.3233082706766917
Matt Dea,Richmond,2014,MEDIUM_DEFENDER,1991-10-13,23,7,7.685714285714286,0.39560439560439564
Matt Jones,Melbourne,2014,MIDFIELDER,1987-10-18,27,20,7.33,0.29350649350649355
Matt Maguire,Brisbane Lions,2014,KEY_DEFENDER,1984-05-30,30,13,9.03076923076923,0.21229050279329606
Matt Rosa,West Coast Eagles,2014,MIDFIELDER,1986-11-23,28,14,10.021428571428572,0.29824561403508776
Matt Shaw,Gold Coast Suns,2014,MIDFIELDER,1992-02-05,22,20,7.155,0.28239202657807305
Matt Spangher,Hawthorn,2014,KEY_DEFENDER,1987-04-23,NA,NA,NA,NA
Matt Taberner,Fremantle,2014,KEY_FORWARD,1993-06-17,21,9,5.211111111111111,0.4787234042553191
Matt Thomas,Richmond,2014,MIDFIELDER,1987-02-27,27,13,11.03076923076923,0.44000000000000006
Matt de Boer,Fremantle,2014,MEDIUM_FORWARD,1990-03-10,24,14,8.35,0.4909090909090909
Matthew Arnot,Richmond,2014,MEDIUM_FORWARD,1993-10-21,NA,NA,NA,NA
Matthew Boyd,Western Bulldogs,2014,MIDFIELDER,1982-08-27,32,19,12.457894736842105,0.4340770791075051
Matthew Broadbent,Port Adelaide,2014,MEDIUM_DEFENDER,1990-08-01,24,25,10.024,0.27139364303178487
Matthew Dick,Sydney Swans,2014,MEDIUM_DEFENDER,1994-11-03,NA,NA,NA,NA
Matthew Fuller,Western Bulldogs,2014,MEDIUM_DEFENDER,1990-06-01,NA,NA,NA,NA
Matthew Jaensch,Adelaide Crows,2014,MEDIUM_DEFENDER,1989-09-18,25,22,9.85,0.24593967517401388
Matthew Kreuzer,Carlton,2014,RUCK,1989-05-13,25,1,5.9,0.5384615384615384
Matthew Leuenberger,Brisbane Lions,2014,RUCK,1988-06-07,26,5,6.64,0.5
Matthew Lobbe,Port Adelaide,2014,RUCK,1989-02-12,25,24,9.320833333333333,0.5653846153846155
Matthew McDonough,Richmond,2014,MEDIUM_DEFENDER,1994-01-26,NA,NA,NA,NA
Matthew Pavlich,Fremantle,2014,KEY_FORWARD,1981-12-31,33,22,12.431818181818182,0.463855421686747
Matthew Priddis,West Coast Eagles,2014,MIDFIELDER,1985-03-21,NA,NA,NA,NA
Matthew Scharenberg,Collingwood,2014,MEDIUM_DEFENDER,1995-09-18,NA,NA,NA,NA
Matthew Suckling,Hawthorn,2014,MEDIUM_DEFENDER,1988-07-25,26,23,11.47391304347826,0.2261640798226164
Matthew Warnock,Gold Coast Suns,2014,KEY_DEFENDER,1984-04-03,30,6,7.6,0.4057971014492754
Matthew Watson,Carlton,2014,KEY_DEFENDER,1992-07-16,22,3,9.1,0.4878048780487805
Matthew White,Port Adelaide,2014,MIDFIELDER_FORWARD,1987-04-15,NA,NA,NA,NA
Matthew Wright,Adelaide Crows,2014,MIDFIELDER_FORWARD,1989-12-14,25,20,11.465,0.3831521739130435
Maverick Weller,St Kilda,2014,MIDFIELDER,1992-02-13,22,16,6.74375,0.41975308641975306
Max Duffy,Fremantle,2014,MEDIUM_FORWARD,1993-04-11,21,2,4.9,0.4
Max Gawn,Melbourne,2014,KEY_FORWARD,1991-12-30,23,9,6.911111111111111,0.5052631578947369
Max King,Melbourne,2014,RUCK,1995-09-24,NA,NA,NA,NA
Max Warren,North Melbourne,2014,MEDIUM_DEFENDER,1993-01-29,21,1,0.5,0
Michael Apeness,Fremantle,2014,KEY_FORWARD,1995-01-28,19,2,1.3,0.5
Michael Barlow,Fremantle,2014,MIDFIELDER,1987-12-18,27,19,12.378947368421052,0.40755467196819084
Michael Close,Brisbane Lions,2014,KEY_FORWARD,1994-07-30,20,14,3.442857142857143,0.4659090909090909
Michael Evans,Melbourne,2014,MIDFIELDER,1992-07-13,22,3,4.766666666666667,0.4800000000000001
Michael Firrito,North Melbourne,2014,MEDIUM_DEFENDER,1983-11-27,31,20,12.795,0.31347962382445144
Michael Hibberd,Essendon,2014,MEDIUM_DEFENDER,1990-01-03,24,19,10.342105263157896,0.2554585152838428
Michael Hurley,Essendon,2014,KEY_DEFENDER,1990-06-01,24,21,11.3,0.329923273657289
Michael Jamison,Carlton,2014,KEY_DEFENDER,1986-06-11,28,20,8.14,0.23809523809523808
Michael Johnson,Fremantle,2014,KEY_DEFENDER,1984-10-20,30,18,11.7,0.3079268292682927
Michael Luxford,Geelong Cats,2014,MEDIUM_FORWARD,1995-02-23,NA,NA,NA,NA
Michael Rischitelli,Gold Coast Suns,2014,MIDFIELDER,1986-01-08,28,21,9.314285714285715,0.39583333333333337
Michael Talia,Western Bulldogs,2014,KEY_DEFENDER,1993-02-11,21,3,6.866666666666667,0.43243243243243246
Michael Walters,Fremantle,2014,MEDIUM_FORWARD,1991-01-07,23,8,11.5,0.4107142857142857
Michael Wood,Fremantle,2014,MEDIUM_FORWARD,1994-07-15,NA,NA,NA,NA
Mike Pyke,Sydney Swans,2014,RUCK,1984-03-24,30,19,9.236842105263158,0.6179775280898877
Mitch Brown,Geelong Cats,2014,KEY_FORWARD,1990-08-28,24,5,6.66,0.4
Mitch Clark,Melbourne,2014,KEY_FORWARD,1987-10-19,NA,NA,NA,NA
Mitch Duncan,Geelong Cats,2014,MIDFIELDER,1991-06-10,23,24,14.054166666666667,0.33695652173913043
Mitch Golby,Brisbane Lions,2014,MEDIUM_DEFENDER,1991-10-03,23,12,5.95,0.27167630057803466
Mitch Hallahan,Hawthorn,2014,MIDFIELDER,1992-08-23,22,6,8.033333333333333,0.4807692307692307
Mitch Honeychurch,Western Bulldogs,2014,MEDIUM_FORWARD,1995-03-02,19,3,5.7,0.3913043478260869
Mitch Robinson,Carlton,2014,MEDIUM_FORWARD,1989-06-07,25,12,11.683333333333334,0.4481327800829875
Mitch Wallis,Western Bulldogs,2014,MIDFIELDER,1992-10-24,22,13,7.707692307692308,0.4840182648401826
Mitchell Brown,West Coast Eagles,2014,KEY_DEFENDER,1988-12-17,NA,NA,NA,NA
Mitchell Clisby,Melbourne,2014,MEDIUM_DEFENDER,1990-01-05,NA,NA,NA,NA
